1	1881
2	1812
3	1694
4	1648
5	1536
6	1491
7	1474
8	1414
9	1365
10	1308
11	1308
12	1251
13	1172
14	1154
15	1151
16	1110
17	1067
18	1053
19	1014
20	1013
21	993
22	976
23	967
24	946
25	944
26	938
27	922
28	909
29	901
30	900
31	887
32	887
33	877
34	877
35	868
36	864
37	864
38	853
39	853
40	849
41	841
42	838
43	830
44	830
45	824
46	822
47	810
48	810
49	805
50	805
51	805
52	800
53	800
54	797
55	797
56	797
57	796
58	782
59	781
60	779
61	779
62	779
63	779
64	778
65	778
66	778
67	778
68	775
69	771
70	771
71	768
72	768
73	766
74	766
75	766
76	764
77	764
78	764
79	755
80	755
81	755
82	755
83	755
84	755
85	755
86	755
87	755
88	755
89	755
90	755
91	755
92	755
93	755
94	755
95	755
96	755
97	755
98	755
99	755
100	755
1	399
2	359
3	359
4	338
5	320
6	296
7	306
8	296
9	296
10	296
11	296
12	296
13	296
14	296
15	296
16	296
17	296
18	296
19	296
20	296
21	296
22	296
23	296
24	296
25	296
26	296
27	296
28	296
29	296
30	296
31	296
32	296
33	296
34	296
35	296
36	296
37	296
38	296
39	296
40	296
41	296
42	296
43	296
44	296
45	296
46	296
47	296
48	296
49	296
50	296
51	296
52	296
53	296
54	296
55	296
56	296
57	296
58	296
59	296
60	296
61	296
62	296
63	296
64	296
65	296
66	296
67	296
68	296
69	296
70	296
71	296
72	296
73	296
74	296
75	296
76	296
77	296
78	296
79	296
80	296
81	296
82	296
83	296
84	296
85	296
86	296
87	296
88	296
89	296
90	296
91	296
92	296
93	296
94	296
95	296
96	296
97	296
98	296
99	296
100	296
1	684
2	596
3	595
4	548
5	509
6	471
7	465
8	429
9	426
10	426
11	426
12	416
13	416
14	415
15	415
16	415
17	413
18	413
19	403
20	397
21	397
22	397
23	393
24	393
25	393
26	393
27	393
28	393
29	393
30	393
31	393
32	393
33	393
34	393
35	393
36	393
37	393
38	393
39	393
40	393
41	393
42	393
43	393
44	393
45	393
46	393
47	393
48	393
49	393
50	393
51	393
52	393
53	393
54	393
55	393
56	393
57	393
58	393
59	393
60	393
61	393
62	393
63	393
64	393
65	393
66	393
67	393
68	393
69	393
70	393
71	393
72	393
73	393
74	393
75	393
76	393
77	393
