41,4
32,91
40,27
3,36
82,6
60,85
14,2
51,69
91,65
43,4
35,33
27,3
97,72
91,78
48,24
80,68
2,69
98,67
16,3
17,93
36,70
64,3
50,98
8,35
56,20
63,82
76,40
74,7
34,30
6,54
3,17
56,79
66,71
94,42
43,21
22,14
63,53
85,77
13,82
81,52
82,98
66,83
25,64
64,99
96,99
95,23
28,32
91,92
36,63
14,43
89,26
65,30
8,34
39,22
72,5
51,57
43,26
22,63
44,59
73,19
15,59
42,53
10,72
90,16
43,26
68,97
68,91
97,80
1,25
30,55
70,32
15,97
61,65
51,44
47,25
51,86
76,56
87,39
91,48
49,28
81,33
63,54
28,79
78,92
5,27
37,84
77,62
15,54
20,61
4,61
21,28
77,40
71,17
26,12
53,88
85,15
1,71
26,50
32,23
22,79
30,45
39,6
81,2
12,55
72,32
37,45
61,19
78,99
95,52
5,83
78,1
43,91
36,26
45,65
6,29
47,2
49,58
36,91
38,78
13,36
83,44
62,61
45,19
93,62
37,94
35,30
3,64
64,5
20,29
46,46
73,38
47,64
52,22
99,82
52,75
70,15
11,54
37,93
16,44
8,36
58,25
72,72
75,10
74,66
30,82
21,57
53,7
61,73
21,49
42,82
70,52
47,15
46,92
20,96
25,26
32,7
91,64
67,21
99,45
10,22
5,5
72,73
98,53
85,66
62,68
90,8
55,30
49,87
71,90
12,18
9,7
59,98
60,1
48,61
43,84
21,75
90,4
54,98
50,96
31,62
56,79
37,46
95,83
60,9
27,78
31,10
26,17
47,17
91,22
11,15
20,15
58,69
67,71
32,82
77,74
11,33
32,22
32,55
6,33
66,85
49,89
51,63
32,42
46,60
35,22
30,41
94,37
95,42
94,73
36,41
63,83
10,50
75,40
13,38
79,65
38,59
33,13
90,6
33,67
23,89
94,52
56,97
77,59
73,28
38,77
12,74
12,4
62,5
30,65
65,99
75,79
35,7
33,12
95,65
1,94
25,71
51,36
5,83
68,22
39,20
82,98
9,62
93,29
73,31
21,7
78,80
18,79
85,77
97,18
63,15
39,11
3,9
63,50
12,24
26,92
62,52
19,25
50,54
1,81
73,31
3,33
86,20
14,42
87,36
85,64
39,37
6,95
2,22
30,77
89,53
29,90
90,19
75,35
42,57
12,79
44,22
37,90
99,82
3,78
34,57
58,27
16,32
75,49
64,56
82,9
21,77
4,74
88,34
49,5
89,30
48,16
62,4
50,20
80,80
27,38
13,7
94,30
43,51
91,25
77,25
14,64
72,63
21,43
72,33
88,79
69,58
98,89
64,46
99,14
51,85
82,18
77,94
78,96
91,34
17,75
45,15
43,73
87,31
7,3
35,95
87,23
39,59
87,55
68,71
64,18
45,68
73,17
99,33
20,46
6,90
72,97
72,67
96,54
97,6
8,53
10,1
67,71
75,21
21,16
31,88
52,33
42,36
14,37
61,52
32,74
39,88
49,94
71,7
93,78
88,75
44,14
79,64
10,1
14,42
29,83
9,26
96,15
58,71
33,62
81,54
93,35
86,93
55,77
90,58
74,53
94,10
86,96
53,83
68,26
52,43
22,91
83,57
56,55
44,86
48,64
78,20
87,27
33,95
26,58
83,53
9,25
93,8
84,52
4,2
11,22
45,5
54,81
79,9
80,5
74,59
89,91
51,47
77,68
96,39
62,19
32,21
65,64
83,74
5,58
75,30
19,75
18,60
2,20
78,6
55,83
15,31
26,87
83,95
1,54
95,40
30,53
12,71
44,81
27,8
74,37
11,39
69,59
60,95
2,59
18,1
15,15
46,46
32,95
16,25
19,42
34,21
70,3
38,37
17,92
1,74
52,24
47,27
71,2
29,25
77,91
23,6
55,10
87,92
19,88
63,13
27,22
23,73
69,39
47,5
24,47
22,20
31,72
34,29
22,51
80,96
52,12
52,32
38,36
14,90
29,10
27,2
31,43
65,19
30,25
6,52
15,19
84,61
59,10
67,53
46,46
29,30
33,97
7,53
66,4
54,60
40,77
28,73
39,49
68,99
74,74
60,62
75,88
77,96
5,30
32,48
75,48
91,53
68,52
19,93
39,86
89,68
30,94
2,93
24,5
12,9
59,96
22,1
71,56
77,54
58,76
73,24
18,73
54,81
47,40
88,94
42,16
6,14
6,57
94,2
41,1
52,70
34,72
69,49
15,66
1,64
84,77
72,42
5,63
44,6
86,8
6,97
42,83
82,8
47,74
39,84
80,96
31,94
86,16
49,1
60,37
5,65
30,99
55,62
5,81
79,50
52,68
61,86
41,56
35,6
98,39
94,79
78,57
33,68
12,32
99,63
26,14
5,21
49,82
7,71
29,29
34,55
73,91
35,50
42,86
32,6
74,9
71,63
81,14
35,74
38,96
27,86
75,75
67,55
67,2
61,16
4,30
83,41
91,94
17,71
22,20
5,93
77,67
4,14
89,28
38,10
24,45
30,71
81,17
19,99
44,56
75,31
68,21
97,1
17,84
91,38
85,15
6,64
92,40
32,52
99,16
90,62
12,68
11,24
8,32
33,73
39,99
80,79
45,54
40,50
26,83
25,74
41,29
2,37
91,70
28,28
71,71
10,33
13,89
29,69
45,13
31,96
87,98
91,46
2,21
26,13
73,71
28,33
71,27
58,75
43,65
10,87
56,37
49,34
40,90
9,14
76,3
82,28
29,34
80,33
67,75
59,7
67,6
41,65
60,79
5,42
59,36
9,51
64,84
92,45
81,21
1,14
64,35
23,57
9,46
55,99
83,69
63,65
25,65
49,67
5,66
71,30
90,88
25,93
4,39
87,80
70,49
64,78
76,40
23,4
47,74
98,93
58,74
10,78
21,27
38,97
93,89
10,21
26,83
52,71
40,48
95,14
68,8
2,93
22,84
67,64
19,82
5,29
50,11
69,28
48,1
61,42
44,61
64,50
50,27
42,86
55,67
45,73
86,17
13,16
3,75
34,53
13,16
28,78
94,70
55,86
25,98
81,99
82,88
29,46
38,30
50,28
81,51
73,5
67,69
9,81
40,62
65,28
61,42
92,34
23,59
40,10
42,23
29,94
95,30
35,91
45,25
34,17
73,34
55,47
98,18
22,51
36,74
75,12
34,80
5,40
60,60
35,32
13,25
47,60
23,98
86,26
49,32
52,29
36,35
31,59
92,93
11,53
22,56
30,36
35,54
36,97
94,26
87,1
25,67
31,75
32,3
30,44
33,98
13,99
46,26
55,94
86,14
49,3
96,3
44,31
21,47
96,55
13,96
64,42
16,36
77,13
89,45
8,15
27,72
47,12
77,3
51,50
53,79
21,78
75,17
92,70
51,48
75,5
65,13
7,44
26,2
76,99
11,45
73,31
66,41
3,32
74,18
62,1
87,84
26,1
18,59
46,67
89,59
7,58
73,77
22,2
38,37
78,40
56,55
33,58
54,57
3,72
61,1
60,26
99,12
25,29
34,36
32,86
83,64
39,92
13,7
20,64
69,32
32,57
12,42
78,12
10,16
66,58
45,52
83,12
58,72
43,67
1,81
88,43
74,15
77,48
54,35
60,57
30,61
42,43
38,68
70,73
78,91
56,66
80,71
68,36
29,40
44,47
38,96
42,91
35,18
30,42
33,81
23,83
5,76
36,73
65,60
21,89
27,61
3,15
44,83
4,12
17,37
78,77
86,37
8,85
82,88
65,88
66,76
38,5
61,45
98,28
68,14
39,69
37,51
33,86
10,83
84,99
92,1
65,50
43,52
13,55
79,72
6,11
99,64
30,13
61,17
73,48
54,56
86,67
91,83
97,42
3,64
97,18
33,55
23,76
53,76
37,8
76,57
14,76
46,26
86,4
16,87
96,8
95,93
9,9
7,28
33,80
85,32
46,16
87,70
68,62
93,98
69,54
32,56
87,58
33,2
89,93
96,19
93,78
36,3
22,3
74,58
83,15
53,90
76,44
21,65
41,99
51,78
29,1
29,47
3,45
60,49
74,46
16,84
76,97
27,66
21,93
22,37
82,93
34,32
67,30
96,34
47,63
78,73
19,6
88,16
19,46
29,22
16,20
10,7
48,24
35,72
73,57
2,16
61,75
11,9
30,81
32,47
61,47
50,61
28,15
12,98
57,71
17,42
81,73
88,95
72,85
89,23
67,40
50,91
50,4
72,17
1,56
84,49
73,87
67,56
29,59
98,62
80,83
80,19
64,46
